,probabilities,words
0,0.03593456690801824,<s>
1,0.0053633681952266025,natural
2,0.006972378653794583,language
3,0.0029498525073746312,processing
4,0.014481094127111826,lrb
5,0.0053633681952266025,nlp
6,0.013944757307589166,rrb
7,0.01743094663448646,is
8,0.026816840976133013,a
9,0.0010726736390453205,field
10,0.045588629659426116,of
11,0.002145347278090641,computer
12,0.0008045052292839903,science
13,0.0002681684097613301,artificial
14,0.0008045052292839903,intelligence
15,0.0016090104585679806,also
16,0.0005363368195226602,called
17,0.004290694556181282,machine
18,0.005095199785465273,learning
19,0.016626441405202468,and
20,0.002145347278090641,linguistics
21,0.0010726736390453205,concerned
22,0.004827031375703942,with
23,0.049611155805846074,the
24,0.0002681684097613301,interactions
25,0.0016090104585679806,between
26,0.0002681684097613301,computers
27,0.002413515687851971,human
28,0.0037543577366586215,languages
29,0.035398230088495575,</s>
30,0.0008045052292839903,specifically
31,0.004022526146419952,it
32,0.0013408420488066506,process
33,0.0002681684097613301,extracting
34,0.0002681684097613301,meaningful
35,0.0026816840976133013,information
36,0.0053633681952266025,from
37,0.004022526146419952,input
38,0.0002681684097613301,andor
39,0.0005363368195226602,producing
40,0.0002681684097613301,output
41,0.014481094127111826,in
42,0.0002681684097613301,theory
43,0.0013408420488066506,very
44,0.0002681684097613301,attractive
45,0.0002681684097613301,method
46,0.0005363368195226602,interaction
47,0.0010726736390453205,understanding
48,0.0010726736390453205,sometimes
49,0.0008045052292839903,referred
50,0.01850362027353178,to
51,0.010726736390453205,as
52,0.0037543577366586215,an
53,0.0008045052292839903,aicomplete
54,0.0010726736390453205,problem
55,0.0008045052292839903,because
56,0.0002681684097613301,seems
57,0.0002681684097613301,require
58,0.0002681684097613301,extensive
59,0.0010726736390453205,knowledge
60,0.0010726736390453205,about
61,0.0002681684097613301,outside
62,0.0013408420488066506,world
63,0.0005363368195226602,ability
64,0.0005363368195226602,manipulate
65,0.0008045052292839903,whether
66,0.0002681684097613301,distinct
67,0.006167873424510592,or
68,0.0002681684097613301,identical
69,0.0013408420488066506,computational
70,0.0002681684097613301,matter
71,0.0002681684097613301,perspective
72,0.0002681684097613301,association
73,0.009385894341646554,for
74,0.0002681684097613301,defines
75,0.0002681684097613301,latter
76,0.0002681684097613301,focusing
77,0.006972378653794583,on
78,0.0005363368195226602,theoretical
79,0.0002681684097613301,aspects
80,0.0029498525073746312,other
81,0.0008045052292839903,hand
82,0.0002681684097613301,openaccess
83,0.0008045052292839903,journal
84,0.006436041834271922,``
85,0.0002681684097613301,styles
86,0.0002681684097613301,itself
87,0.0002681684097613301,longest
88,0.0002681684097613301,running
89,0.0002681684097613301,publication
90,0.0010726736390453205,devoted
91,0.0002681684097613301,exclusively
92,0.0002681684097613301,design
93,0.0013408420488066506,analysis
94,0.0053633681952266025,systems
95,0.0008045052292839903,modern
96,0.0037543577366586215,algorithms
97,0.006167873424510592,are
98,0.0008045052292839903,grounded
99,0.002145347278090641,especially
100,0.0034861893268972916,statistical
101,0.0026816840976133013,research
102,0.0037543577366586215,into
103,0.0005363368195226602,requires
104,0.0010726736390453205,number
105,0.0002681684097613301,disparate
106,0.0002681684097613301,fields
107,0.0008045052292839903,including
108,0.0002681684097613301,statistics
109,0.0002681684097613301,discussion
110,0.0005363368195226602,types
111,0.0002681684097613301,currently
112,0.0018771788683293108,used
113,0.0008045052292839903,see
114,0.0008045052292839903,article
115,0.0002681684097613301,pattern
116,0.0026816840976133013,recognition
117,0.0005363368195226602,automated
118,0.0008045052292839903,online
119,0.0002681684097613301,assistant
120,0.0002681684097613301,providing
121,0.0002681684097613301,customer
122,0.0002681684097613301,service
123,0.0005363368195226602,web
124,0.0002681684097613301,page
125,0.0026816840976133013,example
126,0.0002681684097613301,application
